Time Stamp (ms), Temp1(T1), Temp2 (T2),Humidity (H), Pressure (P),AccelX (X), AccelY (Y), AccelZ (Z)
194004,33.30,33.33,29.53,12.40,-3.21,-2.81,-2.85
195004,33.31,33.33,29.53,12.38,-3.21,-2.81,-2.85
196004,33.31,33.33,29.53,12.38,-3.21,-2.81,-2.85
197004,33.31,33.33,29.22,12.38,-3.21,-2.81,-2.85
198004,33.30,33.33,29.38,12.40,-3.21,-2.81,-2.85
199004,33.30,33.33,29.22,12.38,-3.21,-2.81,-2.85
200004,33.31,33.33,29.06,12.40,-3.21,-2.81,-2.85
201005,33.31,33.33,29.38,12.40,-3.21,-2.81,-2.85
202004,33.31,33.33,29.38,12.38,-3.21,-2.81,-2.85
203004,33.32,33.33,29.38,12.38,-3.21,-2.81,-2.85
204004,33.31,33.33,29.38,12.38,-3.21,-2.81,-2.85
205004,33.31,33.33,29.38,12.38,-3.21,-2.81,-2.85
206004,33.32,33.33,29.38,12.40,-3.21,-2.81,-2.85
207004,33.31,33.33,29.69,12.38,-3.21,-2.81,-2.85
208004,33.31,33.33,29.06,12.38,-3.21,-2.81,-2.85
209004,33.31,33.34,29.69,12.38,-3.21,-2.81,-2.85
210004,33.31,33.33,29.38,12.38,-3.21,-2.81,-2.85
211004,33.30,33.34,29.06,12.38,-3.21,-2.81,-2.85
212004,33.30,33.33,29.22,12.38,-3.21,-2.81,-2.85
213004,33.31,33.33,29.06,12.38,-3.21,-2.81,-2.85
214004,33.30,33.34,29.06,12.38,-3.21,-2.81,-2.85
215004,33.30,33.34,29.38,12.38,-3.21,-2.81,-2.85
216004,33.30,33.34,29.22,12.38,-3.21,-2.81,-2.85
217005,33.32,33.34,29.22,12.38,-3.21,-2.81,-2.85
218004,33.32,33.34,29.69,12.40,-3.21,-2.81,-2.85
219004,33.31,33.34,29.06,12.38,-3.21,-2.81,-2.85
220004,33.31,33.34,29.38,12.38,-3.21,-2.81,-2.85
221004,33.31,33.33,29.38,12.40,-3.21,-2.81,-2.85
222004,33.32,33.34,29.06,12.38,-3.21,-2.81,-2.85
223004,33.31,33.34,29.22,12.38,-3.21,-2.81,-2.85
224004,33.31,33.34,29.06,12.38,-3.21,-2.81,-2.85
225004,33.32,33.34,29.06,12.38,-3.21,-2.81,-2.85
226004,33.31,33.34,29.38,12.38,-3.21,-2.81,-2.85
227004,33.30,33.34,29.22,12.38,-3.21,-2.81,-2.85
228004,33.31,33.34,29.53,12.38,-3.21,-2.81,-2.85
229004,33.30,33.34,29.69,12.38,-3.21,-2.81,-2.85
230004,33.31,33.34,29.53,12.38,-3.21,-2.81,-2.85
231004,33.31,33.34,29.22,12.38,-3.21,-2.81,-2.85
232004,33.31,33.34,29.22,12.40,-3.21,-2.81,-2.85
233005,33.32,33.34,29.53,12.38,-3.21,-2.81,-2.85
234004,33.31,33.34,29.38,12.40,-3.21,-2.81,-2.85
235004,33.31,33.34,29.69,12.40,-3.21,-2.81,-2.85
236004,33.32,33.34,29.22,12.38,-3.21,-2.81,-2.85
237004,33.30,33.34,29.38,12.40,-3.21,-2.81,-2.85
238004,33.31,33.34,29.69,12.40,-3.21,-2.81,-2.85
239004,33.30,33.34,29.53,12.40,-3.21,-2.81,-2.85
240004,33.32,33.34,29.38,12.40,-3.21,-2.81,-2.85
241004,33.30,33.34,29.38,12.40,-3.21,-2.81,-2.85
242004,33.31,33.34,29.22,12.40,-3.21,-2.81,-2.85
243004,33.31,33.34,29.53,12.40,-3.21,-2.81,-2.85
244004,33.31,33.34,29.06,12.40,-3.21,-2.81,-2.85
245004,33.30,33.34,29.06,12.40,-3.21,-2.81,-2.85
246004,33.32,33.34,29.38,12.40,-3.21,-2.81,-2.85
247004,33.31,33.34,29.06,12.40,-3.21,-2.81,-2.85
248004,33.31,33.34,29.53,12.40,-3.21,-2.81,-2.85
249005,33.31,33.34,29.22,12.40,-3.21,-2.81,-2.85
250004,33.30,33.34,29.38,12.40,-3.21,-2.81,-2.85
251004,33.31,33.34,29.06,12.40,-3.21,-2.81,-2.85
252004,33.31,33.34,29.22,12.40,-3.21,-2.81,-2.85
253004,33.32,33.34,29.53,12.40,-3.21,-2.81,-2.85
254004,33.31,33.34,29.53,12.38,-3.21,-2.81,-2.85
255004,33.31,33.34,29.53,12.40,-3.21,-2.81,-2.85
256004,33.32,33.34,29.53,12.40,-3.21,-2.81,-2.85
257004,33.31,33.34,29.53,12.40,-3.21,-2.81,-2.85
258004,33.30,33.34,29.38,12.40,-3.21,-2.81,-2.85
259004,33.31,33.34,29.22,12.38,-3.21,-2.81,-2.85
260004,33.32,33.34,29.53,12.38,-3.21,-2.81,-2.85
261004,33.30,33.34,29.22,12.40,-3.21,-2.81,-2.85
262004,33.31,33.35,29.53,12.38,-3.21,-2.81,-2.85
263004,33.31,33.34,29.22,12.38,-3.21,-2.81,-2.85
264004,33.32,33.35,29.22,12.38,-3.21,-2.81,-2.85
265005,33.32,33.35,29.06,12.38,-3.21,-2.81,-2.85
266004,33.32,33.34,29.53,12.38,-3.21,-2.81,-2.85
267004,33.31,33.35,29.22,12.38,-3.21,-2.81,-2.85
268004,33.30,33.35,29.38,12.38,-3.21,-2.81,-2.85
269004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
270004,33.32,33.35,29.53,12.38,-3.21,-2.81,-2.85
271004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
272004,33.31,33.35,29.38,12.38,-3.21,-2.81,-2.85
273004,33.31,33.35,29.06,12.40,-3.21,-2.81,-2.85
274004,33.32,33.35,29.06,12.40,-3.21,-2.81,-2.85
275004,33.30,33.35,29.06,12.38,-3.21,-2.81,-2.85
276004,33.32,33.35,29.06,12.38,-3.21,-2.81,-2.85
277004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
278004,33.32,33.35,28.90,12.38,-3.21,-2.81,-2.85
279004,33.31,33.35,29.22,12.38,-3.21,-2.81,-2.85
280004,33.32,33.35,28.90,12.38,-3.21,-2.81,-2.85
281005,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
282004,33.31,33.35,29.53,12.38,-3.21,-2.81,-2.85
283004,33.32,33.35,28.90,12.38,-3.21,-2.81,-2.85
284004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
285004,33.31,33.35,29.22,12.38,-3.21,-2.81,-2.85
286004,33.31,33.35,29.38,12.38,-3.21,-2.81,-2.85
287004,33.30,33.35,29.53,12.38,-3.21,-2.81,-2.85
